actor_name,tier
Freddy Rodríguez,1
Brad Renfro,1
Dee Wallace,1
Ted Raimi,1
Edi Gathegi,1
Eartha Kitt,1
Bingbing Li,1
Brooke Smith,1
Swoosie Kurtz,1
Wendie Malick,1
Mark Valley,1
John Fiedler,1
Kevin Grevioux,1
Frances O'Connor,1
Jeremy Irvine,1
Peter Gerety,1
David Hyde Pierce,1
Luke Grimes,1
Jonathan Frakes,1
Olivier Martinez,1
Miranda Cosgrove,1
Denholm Elliott,1
Janet Leigh,1
Michael Weston,1
David Ogden Stiers,1
Jason Scott Lee,1
Simon Callow,1
Ray Walston,1
Ike Barinholtz,1
Siobhan Fallon Hogan,1
Martin Donovan,1
Leonor Varela,1
Clu Gulager,1
Adrienne Barbeau,1
Cas Anvar,1
Cree Summer,1
Ed Lauter,1
Randy Wayne,1
T.J. Thyne,1
Woody Strode,1
Daniella Alonso,1
Christopher Judge,1
Jeff Kober,1
Yaya DaCosta,1
Aaron Stanford,1
Alexa Davalos,1
Khandi Alexander,1
Sarah Roemer,1
Tom McCarthy,1
Marshall Bell,1
Larry David,1
Eileen Brennan,1
Thomas Ian Nicholas,1
Tye Sheridan,1
Tony Nappo,1
Holland Taylor,1
George C. Scott,1
Heather Matarazzo,1
Jason Cope,1
Kenny Baker,1
Mackenzie Foy,1
Chris Elliott,1
Damon Wayans Jr.,1
Alun Armstrong,1
Sam Riley,1
Kodi Smit-McPhee,1
Tamsin Egerton,1
Lauren Ambrose,1
Drake Bell,1
Kevin Connolly,1
Caroline Dhavernas,1
Brian Van Holt,1
Edie Falco,1
Natascha McElhone,1
Frank Finlay,1
Olivia Munn,1
Matt Bomer,1
Rae Dawn Chong,1
Rosanna Arquette,1
Taylor Negron,1
Jessica Szohr,1
Tchéky Karyo,1
Harland Williams,1
Peter Fonda,1
Terry Pheto,1
Ben Falcone,1
Collette Wolfe,1
Lee Majors,1
Curtiss Cook,1
Judd Hirsch,1
Sharlto Copley,1
Kirby Heyborne,1
Michiel Huisman,1
Greg Grunberg,1
Kim Dickens,1
Tim Guinee,1
Harvey Fierstein,1
Vanessa Lengies,1
Carl Weathers,1
Annabella Sciorra,1
Mario Van Peebles,1
Madison Pettis,1
Jeremy Davies,1
Nicholas Braun,1
Tasha Smith,1
Harvey Korman,1
Mackenzie Crook,1
Alyson Stoner,1
Jimmy Fallon,1
Sally Kirkland,1
Joan Plowright,1
Theo James,1
Elizabeth McGovern,1
Sam Claflin,1
Nick Cannon,1
Frank Vincent,1
Jacinda Barrett,1
Sam Trammell,1
Trevor Morgan,1
Heather Locklear,1
Dave Legeno,1
Montgomery Clift,1
Barry Bostwick,1
Paul Hogan,1
Anne Archer,1
Nick Chinlund,1
Fiona Shaw,1
Riley Smith,1
