director_name,tier
Richard Glatzer,2
Rand Ravich,2
Tim Robbins,2
Jim Gillespie,2
Henry Selick,2
Bille August,2
Pierre Coffin,2
Ol Parker,2
Gary Trousdale,2
Jean-Luc Godard,2
Jean-Paul Rappeneau,2
Susanna White,2
Andrew Bujalski,2
Gil Kenan,2
Tommy O'Haver,2
Scott Mann,2
Craig Mazin,2
James Toback,2
Stephen Norrington,2
Vicky Jewson,2
Marc Bennett,2
Harmage Singh Kalirai,2
Dan Perri,2
Marielle Heller,2
Rita Merson,2
David Duchovny,2
William Wyler,2
Jerry Belson,2
Petter Næss,2
Dave Payne,2
Orson Welles,2
Dan Rush,2
Robert Fontaine,2
Simon Yin,2
Shyam Madiraju,2
Mitchell Lichtenstein,2
Barrett Esposito,2
William H. Macy,2
Jeff Crook,2
Hayley Cloake,2
Xavier Beauvois,2
Tanner Beard,2
Nick Murphy,2
Bob Giraldi,2
Huck Botko,2
Robby Henson,2
Fatih Akin,2
J.S. Cardone,2
Zackary Adler,2
Jay Levey,2
Dominic Burns,2
Nicholaus Goossen,2
Jirí Menzel,2
Carmen Marron,2
Harald Reinl,2
Tay Garnett,2
Phil Morrison,2
Stanton Barrett,2
Ronan Chapalain,2
Jerry Rees,2
Jaco Booyens,2
Paul Bunnell,2
Danny Steinmann,2
Ice Cube,2
Mike Mayhall,2
David Sington,2
Jim Amatulli,2
Brad Copeland,2
Lance Mungia,2
Bill Duke,2
Gary Rogers,2
Hunter Richards,2
Kevin Tenney,2
Laurie Collyer,2
Jim Jarmusch,2
Steve Carver,2
Nicholas Fackler,2
Eli Craig,2
Hue Rhodes,2
Gonzalo López-Gallego,2
Christine Jeffs,2
Dennis Hopper,2
Robert Rossen,2
Jack Conway,2
Sylvain Chomet,2
Simon Napier-Bell,2
Max Joseph,2
Brian Yuzna,2
Chris Eyre,2
James Manera,2
Jugal Hansraj,2
Noah Buschel,2
Errol Morris,2
Bill Muir,2
Danny Provenzano,2
Debra Granik,2
Henry King,2
Feroz Abbas Khan,2
Fred Walton,2
Aaron Hann,2
Richard Wallace,2
Chia-Liang Liu,2
Chris Shadley,2
Neil Mcenery-West,2
Miranda July,2
Colin Minihan,2
Anthony O'Brien,2
Brian Dannelly,2
Bruce Malmuth,2
Klaus Menzel,2
John Simpson,2
Mamoru Hosoda,2
Rob Hedden,2
Harmony Korine,2
Kundan Shah,2
Danny Perez,2
Joe Chappelle,2
Ralph Ziman,2
Matthew Hastings,2
Phil Claydon,2
Frank Borzage,2
Mickey Liddell,2
Denys Arcand,2
Billy Kent,2
Ari Folman,2
David Robert Mitchell,2
Robert Mulligan,2
Conor McMahon,2
Joe Cross,2
Frank LaLoggia,2
Howard Hawks,2
Jim Mickle,2
Karim Aïnouz,2
Sam Levinson,2
Aleksandr Veledinskiy,2
Christopher Leitch,2
Nnegest Likké,2
Peter H. Hunt,2
Ruba Nadda,2
Howard Hughes,2
Bruce Macdonald,2
Benny Boom,2
John Maclean,2
Adam Marcus,2
Sean Byrne,2
Tom McLoughlin,2
Mark Griffiths,2
Kunihiko Yuyama,2
Jack Sholder,2
Fernando León de Aranoa,2
Damien O'Donnell,2
Peter M. Cohen,2
Mel Stuart,2
Leslye Headland,2
Andrea Arnold,2
Ruggero Deodato,2
Gavin Wiesen,2
Mora Stephens,2
Matthew Bright,2
Enrique Begne,2
Jason Eisener,2
David Nixon,2
Mars Callahan,2
Leos Carax,2
Stefan Schwartz,2
Robert Lee King,2
Tom Schulman,2
Jorge Ramírez Suárez,2
Anthony Hickox,2
Dan Ireland,2
Tod Williams,2
Doug Walker,2
Ron Fricke,2
Anthony C. Ferrante,2
Eldar Rapaport,2
Robert Eggers,2
Luc Jacquet,2
Antonio Simoncini,2
Daniel Petrie Jr.,2
Michael Martin,2
Gideon Raff,2
Louis C.K.,2
Mark Young,2
Richard Raymond,2
Salvador Carrasco,2
Jay Oliva,2
Charles Adelman,2
Avi Nesher,2
André Øvredal,2
Amanda Gusack,2
Robert Cary,2
Warren P. Sonoda,2
Clark Gregg,2
Damien Chazelle,2
Justin Kerrigan,2
Nathan Frankowski,2
Brandon Cronenberg,2
John Gulager,2
Joshua Marston,2
Max Mayer,2
Alan Jacobs,2
Christopher Morris,2
Andrucha Waddington,2
Peter Stebbings,2
Scott Dow,2
Vincente Minnelli,2
Dagur Kári,2
Laurent Cantet,2
Jim Abrahams,2
Kevin Carraway,2
